lugarId,interesId,relevancia
1,4,Alta
1,13,Alta
2,9,Media
2,10,Alta
3,6,Alta
3,11,Media
4,5,Alta
5,2,Alta
5,14,Media
6,4,Alta
6,11,Alta
7,6,Alta
8,3,Alta
8,5,Media
9,1,Alta
9,12,Media
10,6,Alta
11,13,Alta
12,9,Media
13,3,Alta
14,1,Media
14,5,Alta
15,5,Alta
15,11,Media
16,5,Alta
16,11,Media
17,8,Alta
17,13,Media
18,4,Alta
18,6,Media
19,6,Alta
19,5,Alta
20,5,Alta
20,11,Media
21,5,Alta
21,1,Media
22,4,Alta
22,13,Media
23,1,Alta
23,12,Media
24,15,Media
24,3,Alta
25,11,Alta
25,3,Media
