usuarioId,alojamientoId,noches,motivo,mes_viaje
1,1,4,Placer,Enero
2,2,2,Negocios,Febrero
3,5,6,Placer,Marzo
4,4,3,Placer,Abril
5,9,5,Negocios,Mayo
6,13,2,Placer,Junio
7,8,7,Placer,Julio
8,10,1,Negocios,Agosto
9,6,3,Placer,Septiembre
10,12,5,Placer,Octubre
11,14,2,Negocios,Noviembre
12,3,4,Negocios,Diciembre
13,15,6,Placer,Enero
14,11,3,Negocios,Febrero
15,7,5,Placer,Marzo
1,3,2,Negocios,Abril
3,8,4,Placer,Mayo
5,1,3,Placer,Junio
7,12,5,Placer,Julio
10,4,2,Negocios,Agosto
1,5,3,Placer,Abril
2,11,4,Negocios,Mayo
3,8,5,Placer,Junio
4,1,2,Negocios,Julio
5,3,6,Placer,Agosto
6,12,2,Placer,Septiembre
7,5,4,Negocios,Octubre
8,10,3,Placer,Noviembre
9,11,5,Placer,Diciembre
10,1,2,Negocios,Enero
11,14,4,Placer,Febrero
12,8,3,Placer,Marzo
13,5,5,Negocios,Abril
14,11,2,Placer,Mayo
15,3,4,Placer,Junio
