lugarId,ciudadId,barrio,coordenadas
1,1,San Antonio,"3.4516,-76.5320"
2,1,San Fernando,"3.4372,-76.5401"
3,1,Cristo Rey,"3.4219,-76.5450"
4,1,Santa Teresita,"3.4570,-76.5530"
5,2,Chia,"4.8610,-74.0320"
6,3,Comuna 13,"6.2518,-75.6230"
7,4,Centro Historico,"10.4236,-75.5392"
8,4,Isla Baru,"10.3015,-75.5812"
9,13,Montenegro,"4.5664,-75.7510"
10,2,Monserrate,"4.6057,-74.0568"
11,2,La Candelaria,"4.6019,-74.0721"
12,5,Riomar,"10.9878,-74.7889"
13,10,Santa Rosa,"4.8687,-75.6214"
14,1,Calima,"3.9390,-76.4840"
15,10,Galicia,"4.8143,-75.6946"
16,1,Granada,"3.4560,-76.5350"
17,2,Centro,"4.6097,-74.0817"
18,3,Centro,"6.2442,-75.5812"
19,11,Ipiales,"0.8300,-77.6400"
20,13,Salento,"4.6370,-75.5700"
21,13,Cocora,"4.6389,-75.4960"
22,2,La Candelaria,"4.5981,-74.0758"
23,3,Santa Elena,"6.2780,-75.5000"
24,5,Norte Centro,"10.9900,-74.8000"
25,10,Chipre,"5.0703,-75.5138"
