usuarioId,lugarId,fecha,puntuacion,es_favorito
1,3,2026-01-15,5,true
1,5,2026-02-10,4,false
2,1,2026-03-05,5,true
2,11,2026-03-07,4,false
3,5,2026-04-12,5,true
3,8,2026-04-15,3,false
4,14,2026-02-20,4,true
4,13,2026-02-22,5,true
5,1,2026-01-18,4,false
5,11,2026-01-20,5,true
6,9,2026-03-14,5,true
6,14,2026-03-18,4,false
7,5,2026-05-01,5,true
7,10,2026-05-03,5,true
8,12,2026-01-25,3,false
9,2,2026-02-11,4,true
9,1,2026-02-14,5,true
10,8,2026-04-09,4,false
11,11,2026-03-30,5,true
12,10,2026-05-06,4,false
13,14,2026-02-08,5,true
14,5,2026-04-18,5,true
15,6,2026-03-21,4,false
15,7,2026-03-25,5,true
1,1,2026-03-15,5,true
1,2,2026-03-20,4,false
1,16,2026-04-10,5,true
2,17,2026-05-02,5,true
2,22,2026-05-04,4,false
3,18,2026-02-11,4,true
3,23,2026-02-14,5,true
4,21,2026-01-18,5,true
4,20,2026-01-20,4,false
5,17,2026-03-05,5,true
5,22,2026-03-06,5,true
6,23,2026-04-11,5,true
6,21,2026-04-15,4,false
7,19,2026-05-01,5,true
8,24,2026-02-08,3,false
9,16,2026-03-17,4,true
9,25,2026-03-18,5,true
10,20,2026-04-02,5,true
11,19,2026-05-06,5,true
12,17,2026-05-07,4,false
13,21,2026-03-14,5,true
14,23,2026-04-25,4,true
15,25,2026-05-12,5,true
